City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
7,Carnarvon,AU,80.67,-24.8667,113.6333,Hospitality Carnarvon
12,Harper,LR,78.22,4.375,-7.7169,Screensaver
14,Butaritari,KI,82.69,3.0707,172.7902,Isles Sunset Lodge
23,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Mana,GF,76.53,5.6592,-53.7767,LE SAMANA
29,Rikitea,PF,75.83,-23.1203,-134.9692,People ThankYou
35,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
40,Champerico,GT,82.35,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
41,Vao,NC,78.94,-22.6667,167.4833,Hotel Kou-Bugny
44,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
46,Lorengau,PG,86.02,-2.0226,147.2712,Lorengau Harbourside Hotel
56,Cockburn Town,TC,80.38,21.4612,-71.1419,Osprey Beach Hotel
59,Quatre Cocos,MU,82.09,-20.2078,57.7625,Sunrise Attitude Hotel
60,Kulhudhuffushi,MV,82.33,6.6221,73.07,Haajy Guest House 1
69,Mahebourg,MU,82.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Vaini,TO,84.36,-21.2,-175.2,Keleti Beach Resort
72,Port Blair,IN,83.5,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
73,Atuona,PF,79.0,-9.8,-139.0333,Villa Enata
75,Resistencia,AR,75.09,-27.4606,-58.9839,Niyat Urban Hotel
79,Zvishavane,ZW,77.18,-20.3267,30.0665,Hotel Boutique Runde
86,Wanning,CN,77.41,18.8003,110.3967,Paradise Hotel
88,Richards Bay,ZA,78.67,-28.783,32.0377,BON Hotel Waterfront Richards Bay
90,Mount Gambier,AU,87.71,-37.8333,140.7667,The Commodore
96,Ladario,BR,75.18,-19.0047,-57.6017,Hotel Fazenda 4 cantos
97,Dingle,PH,84.02,10.9995,122.6711,SEGAYA PROPERTY
106,Tsiroanomandidy,MG,77.16,-18.7667,46.0333,Hotel du Bongolave
109,Kokopo,PG,83.86,-4.352,152.2633,Kokopo Beach Bungalow Resort
111,Pangkalanbuun,ID,84.13,-2.6833,111.6167,Grand Kecubung Hotel
114,Saint-Philippe,RE,81.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Hithadhoo,MV,80.69,-0.6,73.0833,Scoop Guest House
124,Maceio,BR,76.44,-9.6658,-35.7353,Poutur Pousada
126,Dhidhdhoo,MV,82.53,6.8833,73.1,Dhidhoo beach
133,Bundaberg,AU,86.29,-24.85,152.35,Takalvan Motel
134,Bodden Town,KY,77.94,19.2833,-81.25,Will T Place
136,Hambantota,LK,79.14,6.1241,81.1185,Bungalow 63
141,Vaitape,PF,80.53,-16.5167,-151.75,Conrad Bora Bora Nui
146,Puerto Carreno,CO,77.86,6.189,-67.4859,Casa Hotel Victoria
153,Kavieng,PG,83.86,-2.5744,150.7967,Nusa Island Retreat
156,Byron Bay,AU,80.71,-28.65,153.6167,Backpackers Inn
159,Totness,SR,76.42,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
168,Victoria,HK,77.04,22.2855,114.1577,Mini Hotel Central
170,Karwar,IN,84.27,14.8,74.1333,Netalco Connects
171,Maragogi,BR,76.78,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
174,Bambous Virieux,MU,82.22,-20.3428,57.7575,Casa Tia Villa
177,Kavaratti,IN,82.2,10.5669,72.642,Hotels in Lakshadweep Islands
181,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
185,Ambovombe,MG,82.71,-25.1667,46.0833,RELAHARA
189,Alofi,NU,82.29,-19.0595,-169.9187,Taloa Heights
198,Broken Hill,AU,87.51,-31.95,141.4333,Royal Exchange Hotel
201,Binika,IN,76.68,21.0333,83.8,DISASTER ACCOMMODATION
203,Osmena,PH,81.21,10.5208,119.9258,Arjemarkyza Lodge
204,Shahpur,IN,80.04,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
207,Vanimo,PG,84.31,-2.6741,141.3028,Vahmoneh Lodge Vanimo
210,Makakilo City,US,75.56,21.3469,-158.0858,Marriott's Ko Olina Beach Club
