City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Wallasey,53.4232,-3.065,54.34,86,90,1.01,GB,2021-12-12 04:38:42
1,Naze,28.3667,129.4833,68.92,62,73,8.81,JP,2021-12-12 04:38:43
2,Nikolskoye,59.7035,30.7861,25.39,92,100,7.02,RU,2021-12-12 04:38:43
3,Zemio,5.0314,25.1361,74.34,45,95,3.74,CF,2021-12-12 04:38:43
4,Norman Wells,65.282,-126.8329,-3.96,71,75,12.66,CA,2021-12-12 04:38:44
5,Shimoda,34.6667,138.95,64.76,60,2,18.66,JP,2021-12-12 04:38:44
6,Ushuaia,-54.8,-68.3,49.66,76,75,5.75,AR,2021-12-12 04:37:24
7,Carnarvon,-24.8667,113.6333,80.67,36,0,26.46,AU,2021-12-12 04:38:45
8,New Norfolk,-42.7826,147.0587,69.66,29,2,6.78,AU,2021-12-12 04:38:45
9,Saint George,37.1041,-113.5841,38.32,61,1,1.99,US,2021-12-12 04:33:49
10,Port Elizabeth,-33.918,25.5701,66.49,82,90,3.44,ZA,2021-12-12 04:34:07
11,Lake Havasu City,34.4839,-114.3224,50.0,26,1,3.0,US,2021-12-12 04:38:46
12,Harper,4.375,-7.7169,78.22,85,56,3.83,LR,2021-12-12 04:38:46
13,Albany,42.6001,-73.9662,45.95,63,100,13.0,US,2021-12-12 04:36:30
14,Butaritari,3.0707,172.7902,82.69,73,100,17.13,KI,2021-12-12 04:38:46
15,Port Alfred,-33.5906,26.891,68.86,88,100,4.65,ZA,2021-12-12 04:38:47
16,Beringovskiy,63.05,179.3167,-23.01,98,35,7.18,RU,2021-12-12 04:38:47
17,San Patricio,28.017,-97.5169,55.83,38,76,8.86,US,2021-12-12 04:38:47
18,Fuerte Olimpo,-21.0415,-57.8738,72.32,94,86,5.53,PY,2021-12-12 04:38:48
19,Bluff,-46.6,168.3333,57.79,64,2,17.85,NZ,2021-12-12 04:38:48
20,Pevek,69.7008,170.3133,-35.68,97,42,5.53,RU,2021-12-12 04:38:48
21,Adrar,20.5022,-10.0711,62.17,21,73,10.45,MR,2021-12-12 04:38:49
22,Maraa,-1.8333,-65.3667,73.35,99,100,2.75,BR,2021-12-12 04:38:49
23,Kapaa,22.0752,-159.319,78.78,76,75,3.0,US,2021-12-12 04:38:49
24,Mana,5.6592,-53.7767,76.53,92,100,9.26,GF,2021-12-12 04:38:50
25,Uchiza,-8.4592,-76.4633,71.49,98,67,1.45,PE,2021-12-12 04:38:51
26,Ust-Tsilma,65.441,52.1498,13.68,84,70,7.61,RU,2021-12-12 04:38:51
27,Batsfjord,70.6345,29.7185,26.69,82,100,11.07,NO,2021-12-12 04:38:51
28,Cape Town,-33.9258,18.4232,63.09,86,20,8.05,ZA,2021-12-12 04:37:20
29,Rikitea,-23.1203,-134.9692,75.83,79,67,11.77,PF,2021-12-12 04:38:52
30,Punta Arenas,-53.15,-70.9167,50.11,81,0,5.75,CL,2021-12-12 04:38:52
31,Bredasdorp,-34.5322,20.0403,64.38,71,97,3.67,ZA,2021-12-12 04:38:53
32,El Angel,0.6167,-77.9333,45.23,98,100,3.22,EC,2021-12-12 04:38:53
33,Cherskiy,68.75,161.3,-45.45,98,40,3.18,RU,2021-12-12 04:38:53
34,Hermanus,-34.4187,19.2345,61.9,72,100,0.89,ZA,2021-12-12 04:38:53
35,Avarua,-21.2078,-159.775,78.85,78,100,14.97,CK,2021-12-12 04:38:54
36,Caravelas,-17.7125,-39.2481,72.63,96,24,4.21,BR,2021-12-12 04:38:54
37,Busselton,-33.65,115.3333,70.61,34,11,10.96,AU,2021-12-12 04:38:55
38,Cabo San Lucas,22.8909,-109.9124,73.51,70,1,4.41,MX,2021-12-12 04:38:56
39,Nome,64.5011,-165.4064,-7.53,71,1,3.44,US,2021-12-12 04:38:57
40,Champerico,14.3,-91.9167,82.35,83,0,8.95,GT,2021-12-12 04:38:57
41,Vao,-22.6667,167.4833,78.94,88,99,19.13,NC,2021-12-12 04:38:58
42,Hilo,19.7297,-155.09,74.93,40,40,4.61,US,2021-12-12 04:38:58
43,Arraial Do Cabo,-22.9661,-42.0278,74.05,94,97,18.07,BR,2021-12-12 04:38:59
44,Bathsheba,13.2167,-59.5167,79.41,83,40,17.27,BB,2021-12-12 04:38:59
45,Klaksvik,62.2266,-6.589,45.52,80,84,27.6,FO,2021-12-12 04:38:59
46,Lorengau,-2.0226,147.2712,86.02,75,100,13.58,PG,2021-12-12 04:40:00
